"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000002","PUBLISHED","2010","EMR","","AFG","MLE","51.5","51.50902","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EMR","","AFG","MLE","15.1","15.07067","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","AFG","MLE","11.1","11.13451","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","AFG","MLE","61.0","61.03658","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EMR","","AFG","FMLE","15.2","15.16855","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","AFG","FMLE","10.7","10.71348","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","AFG","FMLE","62.3","62.34584","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","AFG","FMLE","52.4","52.44153","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","AFG","BTSX","10.9","10.90975","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","AFG","BTSX","61.7","61.65429","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","AFG","BTSX","52.6","52.60495","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EMR","","AFG","BTSX","15.6","15.58858","","","","",""
"WHOSIS_000007","PUBLISHED","2010","AFR","","AGO","MLE","10.8","10.84583","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","AGO","MLE","59.1","59.13242","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","AGO","MLE","52.2","52.18073","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AFR","","AGO","MLE","15.0","14.99474","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","AGO","FMLE","64.5","64.49519","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","AGO","FMLE","55.3","55.27776","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AFR","","AGO","FMLE","18.4","18.41525","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AFR","","AGO","FMLE","13.6","13.58552","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","AGO","BTSX","53.7","53.66165","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AFR","","AGO","BTSX","16.7","16.70558","","","","",""
